park,team,source_year,spray_zone5,fence_distance_ft,fence_height_ft,distance_source_column,height_source_column,value_method,height_status,usable_for_hr_detector,source_name,source_url,notes
Oriole Park at Camden Yards,BAL,2025,right_gap,373.0,7.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=BAL12,
Oriole Park at Camden Yards,BAL,2025,right_line,318.0,21.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=BAL12,
Petco Park,SD,2025,left_line,336.0,4.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=SAN02,
Petco Park,SD,2025,left_gap,390.0,7.5,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=SAN02,
Petco Park,SD,2025,center,396.0,7.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=SAN02,
Petco Park,SD,2025,right_gap,396.0,10.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=SAN02,
Petco Park,SD,2025,right_line,322.0,10.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=SAN02,
PNC Park,PIT,2025,left_line,325.0,6.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PIT08,
PNC Park,PIT,2025,left_gap,395.0,10.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PIT08,
PNC Park,PIT,2025,center,399.0,10.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PIT08,
PNC Park,PIT,2025,right_gap,395.0,21.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PIT08,
PNC Park,PIT,2025,right_line,320.0,21.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PIT08,
Progressive Field,CLE,2025,left_line,325.0,19.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CLE08,
Progressive Field,CLE,2025,left_gap,370.0,19.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CLE08,
